PathName_Image,"size, micrometer",Group,Sample
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 3.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 6.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 7.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 8.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 9.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islets 10 and 11.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islets 3 and 4.lsm,0.3459440920682663,60_days,1 (2017)
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\10 2 ШТ\islet 1.lsm,0.3459440920682663,60_days,10 2 ШТ
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\10 2 ШТ\islet 4.lsm,0.2737522261884671,60_days,10 2 ШТ
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\10 2 ШТ\islets 2 and 3.lsm,0.2930033904230805,60_days,10 2 ШТ
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 1.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 2.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 3.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 4.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 5.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 6.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 7.lsm,0.3459440920682663,60_days,5
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 8.lsm,0.3459440920682663,60_days,5
