adress,"size, micrometer"
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 1.lsm,0.2749455358759464
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 2.lsm,0.2749455358759464
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 3.lsm,0.2749455358759464
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 5.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 6.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 7.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\2\T2D30 8.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\3_(280622)cтранные\islet 1.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\3_(280622)cтранные\Islet 2.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\3_(280622)cтранные\islet 3.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\3_(280622)cтранные\islet 4.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 01.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 02.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 03 2 ac.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 04 2 ducts.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 05.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 06.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 07.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 08.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 09.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 11.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 12.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 13.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\4_(280622)\islet 14 2 ac.lsm,0.32188013677500055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_(280622)\islet 1.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_(280622)\islet 2.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_(280622)\islet 3.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_очень_маленькие\1.lsm,0.29300339042308116
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_очень_маленькие\10 islet.lsm,0.2749455358759467
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_очень_маленькие\3 islet.lsm,0.2749455358759467
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\30_days\6_очень_маленькие\7 islet.lsm,0.2749455358759467
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\Islet 1.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 12.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 14.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 15.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 2 glu duct 1 4 times.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 3.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 6.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 7.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 8.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islet 9.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islets 10 and 11.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\1 (2017)\islets 3 and 4.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\10 2 ШТ\islet 1.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\10 2 ШТ\islet 4.lsm,0.2737522261884671
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\10 2 ШТ\islets 2 and 3.lsm,0.29300339042308055
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 1.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 2.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 3.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 4.lsm,0.3459440920682663
C:\Users\Arteys\Desktop\Anya_work\Insulin_Alexa_488_Glucagon_TexasRed\60_days\5\islet 5.lsm,0.3459440920682663
